8;8;9;;;;x;x;x;x;x;x;;;;14.5;13.5;;;;;13;12;7;;;;;15;;x;x;x;x;x;x;x;x;x;x;x;x;;;15;;15;;14;;;14;12;8;;;;;;;;;11;10;12;
17;15;12;;;;;;;;;;;;;;;;;;13;;0;14;;;;;0;;x;x;x;x;x;x;13;13;13;;0;0;14;;15;0;0;12;;;6;0;0;9;x;x;x;x;x;x;x;x;x;x;x;x
20;19.5;19;;;;19;19;18;18;18;;;;;13;16.5;;;;;15;15;9;;;;;16;;;18;18;12;19;;;;18;16;20;;x;x;x;x;x;x;;;;;18;16;x;x;x;x;x;x;;;15;15;16;
x;x;x;x;x;x;11;11;11;11;11;;;;;;;;;;11;;11;8;;;;;12;;;;10;10;11;;x;x;x;x;x;x;x;x;x;x;x;x;;;;;6;7;;;;;14;;;;13;6;14;
7.5;7.5;7.5;;;;7.5;7.5;7.5;7.5;7.5;;;;;;;;;;10;;6;5;;;;;14;;6;14;10;7;6;1;x;x;x;x;x;x;;;15;14;10;;x;x;x;x;x;x;;;;;7;;x;x;x;x;x;x
x;x;x;x;x;x;10;10;10;10;10;;;;;11;14.5;;14;;;;11;9;;;;;16;;x;x;x;x;x;x;15;;;15;16;;;;;;14;;x;x;x;x;x;x;x;x;x;x;x;x;13;;;9;10;
9;9;11;;;;x;x;x;x;x;x;;;;13;12;;;;;12;12;10;;;;;15;;;;;14;17;;;;;14;15;;x;x;x;x;x;x;;10;;15;14;13;;;;;13.5;;x;x;x;x;x;x
8;0;7;4;0;;4;4;4;4;0;;;;;10;10;;;;5;;0;0;;;;;0;;x;x;x;x;x;x;0;0;6;6;0;0;11;0;9;9;0;;x;x;x;x;x;x;;0;7;7;0;0;x;x;x;x;x;x
10;12;14;;;;x;x;x;x;x;x;;;;;;;;;;12;11;8;;;;;14;;;12;13;14;13;;x;x;x;x;x;x;x;x;x;x;x;x;;;;13;14;;;;;;13.5;;;;12;6;10;
x;x;x;x;x;x;17;17;17;17;17;;;;;;;;;;;13;9;8;;;;;14;;;14;;11;9;;;14;;16;16;11;;;;;12;;x;x;x;x;x;x;x;x;x;x;x;x;;;12;13;12;
